type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,2000,1000,NO,70-80,4309,4.3,17.5
Nonref,2000,1000,NO,80-90,4031,3,20.5
Nonref,2000,1000,NO,90-95,3951,2,21.3
Nonref,2000,1000,NO,95-99,3974,1.2,25.2
Nonref,2000,1000,NO,Top 1%,4138,0.3,28.6
Nonref,2000,1000,NO,ALL,4828,6,8.4
Nonref,2000,1000,PT,0-10,1829,40.1,-32.4
Nonref,2000,1000,PT,20-Oct,5670,42.7,-16.7
Nonref,2000,1000,PT,20-30,6519,31,4.2
Nonref,2000,1000,PT,30-40,5843,19.1,15.5
Nonref,2000,1000,PT,40-50,4579,10.9,16.9
Nonref,2000,1000,PT,50-60,4156,7.4,10.9
Nonref,2000,1000,PT,60-70,4278,5.8,13.1
Nonref,2000,1000,PT,70-80,3766,3.8,20.8
Nonref,2000,1000,PT,80-90,1722,1.3,23.9
Nonref,2000,1000,PT,90-95,385,0.2,21.7
Nonref,2000,1000,PT,95-99,272,0.1,25.3
Nonref,2000,1000,PT,Top 1%,176,0,28.6
Nonref,2000,1000,PT,ALL,4221,5.3,9.1
Nonref,2500,0,CL,0-10,1833,40.2,-32.4
Nonref,2500,0,CL,20-Oct,5670,42.7,-16.7
Nonref,2500,0,CL,20-30,6524,31.1,4
Nonref,2500,0,CL,30-40,5957,19.4,13.5
Nonref,2500,0,CL,40-50,4908,11.7,16
Nonref,2500,0,CL,50-60,4558,8.1,10.8
Nonref,2500,0,CL,60-70,4669,6.3,12.5
Nonref,2500,0,CL,70-80,4640,4.7,17.5
Nonref,2500,0,CL,80-90,4391,3.3,20.5
Nonref,2500,0,CL,90-95,4317,2.2,21.3
Nonref,2500,0,CL,95-99,2834,0.8,26
Nonref,2500,0,CL,Top 1%,272,0,28.6
Nonref,2500,0,CL,ALL,4949,6.2,8
Nonref,2500,0,NO,0-10,1834,40.2,-32.4
Nonref,2500,0,NO,20-Oct,5670,42.7,-16.7
Nonref,2500,0,NO,20-30,6524,31.1,4
Nonref,2500,0,NO,30-40,5957,19.4,13.5
Nonref,2500,0,NO,40-50,4908,11.7,16
Nonref,2500,0,NO,50-60,4558,8.1,10.8
Nonref,2500,0,NO,60-70,4670,6.3,12.5
Nonref,2500,0,NO,70-80,4640,4.7,17.5
Nonref,2500,0,NO,80-90,4391,3.3,20.5
Nonref,2500,0,NO,90-95,4324,2.2,21.3
Nonref,2500,0,NO,95-99,4393,1.3,25.2
Nonref,2500,0,NO,Top 1%,4593,0.3,28.6
Nonref,2500,0,NO,ALL,5046,6.3,8
Nonref,2500,0,PT,0-10,1830,40.1,-32.4
Nonref,2500,0,PT,20-Oct,5670,42.7,-16.7
Nonref,2500,0,PT,20-30,6523,31.1,4
Nonref,2500,0,PT,30-40,5955,19.4,13.5
Nonref,2500,0,PT,40-50,4907,11.7,16
Nonref,2500,0,PT,50-60,4556,8.1,10.9
Nonref,2500,0,PT,60-70,4631,6.3,13.1
Nonref,2500,0,PT,70-80,4097,4.1,20.8
Nonref,2500,0,PT,80-90,2019,1.5,24.3
Nonref,2500,0,PT,90-95,419,0.2,21.9
Nonref,2500,0,PT,95-99,277,0.1,25.3
Nonref,2500,0,PT,Top 1%,179,0,28.6
Nonref,2500,0,PT,ALL,4398,5.5,8.8
Nonref,2500,500,CL,0-10,1833,40.2,-32.4
Nonref,2500,500,CL,20-Oct,5670,42.7,-16.7
Nonref,2500,500,CL,20-30,6524,31.1,4
Nonref,2500,500,CL,30-40,5967,19.5,13.2
Nonref,2500,500,CL,40-50,5014,12,15
Nonref,2500,500,CL,50-60,4742,8.5,10.6
Nonref,2500,500,CL,60-70,4892,6.6,12.4
Nonref,2500,500,CL,70-80,4886,4.9,17.5
Nonref,2500,500,CL,80-90,4613,3.4,20.5
Nonref,2500,500,CL,90-95,4535,2.3,21.3
Nonref,2500,500,CL,95-99,2989,0.9,26
Nonref,2500,500,CL,Top 1%,281,0,28.6
Nonref,2500,500,CL,ALL,5058,6.3,7.9
Nonref,2500,500,NO,0-10,1834,40.2,-32.4
Nonref,2500,500,NO,20-Oct,5670,42.7,-16.7
Nonref,2500,500,NO,20-30,6524,31.1,4
Nonref,2500,500,NO,30-40,5967,19.5,13.2
Nonref,2500,500,NO,40-50,5014,12,15
Nonref,2500,500,NO,50-60,4742,8.5,10.6
Nonref,2500,500,NO,60-70,4892,6.6,12.4
Nonref,2500,500,NO,70-80,4886,4.9,17.5
Nonref,2500,500,NO,80-90,4613,3.4,20.5
Nonref,2500,500,NO,90-95,4542,2.4,21.3
Nonref,2500,500,NO,95-99,4600,1.4,25.2
Nonref,2500,500,NO,Top 1%,4810,0.3,28.6
Nonref,2500,500,NO,ALL,5158,6.5,7.8
Nonref,2500,500,PT,0-10,1830,40.1,-32.4
Nonref,2500,500,PT,20-Oct,5670,42.7,-16.7
Nonref,2500,500,PT,20-30,6523,31.1,4
Nonref,2500,500,PT,30-40,5965,19.5,13.2
Nonref,2500,500,PT,40-50,5012,12,15
Nonref,2500,500,PT,50-60,4740,8.5,10.7
Nonref,2500,500,PT,60-70,4853,6.6,13.1
Nonref,2500,500,PT,70-80,4343,4.4,20.8
Nonref,2500,500,PT,80-90,2221,1.7,24.4
Nonref,2500,500,PT,90-95,467,0.2,22.1
Nonref,2500,500,PT,95-99,282,0.1,25.3
Nonref,2500,500,PT,Top 1%,182,0,28.6
Nonref,2500,500,PT,ALL,4492,5.6,8.6
Nonref,2500,1000,CL,0-10,1834,40.2,-32.4
Nonref,2500,1000,CL,20-Oct,5670,42.7,-16.7
Nonref,2500,1000,CL,20-30,6524,31.1,4
Nonref,2500,1000,CL,30-40,5968,19.5,13.2
Nonref,2500,1000,CL,40-50,5060,12.1,14.3
Nonref,2500,1000,CL,50-60,4905,8.8,10.3
Nonref,2500,1000,CL,60-70,5111,6.9,12.4
Nonref,2500,1000,CL,70-80,5131,5.2,17.5
Nonref,2500,1000,CL,80-90,4835,3.6,20.5
Nonref,2500,1000,CL,90-95,4754,2.5,21.3
Nonref,2500,1000,CL,95-99,3149,0.9,26
Nonref,2500,1000,CL,Top 1%,290,0,28.6
Nonref,2500,1000,CL,ALL,5158,6.5,7.8
Nonref,2500,1000,NO,0-10,1834,40.2,-32.4
Nonref,2500,1000,NO,20-Oct,5670,42.7,-16.7
Nonref,2500,1000,NO,20-30,6524,31.1,4
Nonref,2500,1000,NO,30-40,5968,19.5,13.2
Nonref,2500,1000,NO,40-50,5060,12.1,14.3
Nonref,2500,1000,NO,50-60,4905,8.8,10.3
Nonref,2500,1000,NO,60-70,5111,6.9,12.4
Nonref,2500,1000,NO,70-80,5131,5.2,17.5
Nonref,2500,1000,NO,80-90,4835,3.6,20.5
Nonref,2500,1000,NO,90-95,4761,2.5,21.3
Nonref,2500,1000,NO,95-99,4806,1.4,25.2
Nonref,2500,1000,NO,Top 1%,5027,0.3,28.6
Nonref,2500,1000,NO,ALL,5261,6.6,7.7
Nonref,2500,1000,PT,0-10,1830,40.1,-32.4
Nonref,2500,1000,PT,20-Oct,5670,42.7,-16.7
Nonref,2500,1000,PT,20-30,6524,31.1,4
Nonref,2500,1000,PT,30-40,5967,19.5,13.2
Nonref,2500,1000,PT,40-50,5059,12.1,14.3
Nonref,2500,1000,PT,50-60,4904,8.8,10.3
Nonref,2500,1000,PT,60-70,5072,6.9,13
Nonref,2500,1000,PT,70-80,4588,4.6,20.7
Nonref,2500,1000,PT,80-90,2436,1.8,24.4
Nonref,2500,1000,PT,90-95,543,0.3,22.3
Nonref,2500,1000,PT,95-99,290,0.1,25.3
Nonref,2500,1000,PT,Top 1%,185,0,28.6
Nonref,2500,1000,PT,ALL,4579,5.7,8.5
Nonref,3000,0,CL,0-10,1835,40.2,-32.4
Nonref,3000,0,CL,20-Oct,5670,42.7,-16.7
Nonref,3000,0,CL,20-30,6524,31.1,4
Nonref,3000,0,CL,30-40,5988,19.5,12.5
Nonref,3000,0,CL,40-50,5250,12.5,12.7
Nonref,3000,0,CL,50-60,5287,9.4,9.9
Nonref,3000,0,CL,60-70,5465,7.4,12.4
Nonref,3000,0,CL,70-80,5461,5.5,17.5
Nonref,3000,0,CL,80-90,5194,3.9,20.5
Nonref,3000,0,CL,90-95,5127,2.7,21.3
Nonref,3000,0,CL,95-99,3452,1,26.1
Nonref,3000,0,CL,Top 1%,300,0,28.6
Nonref,3000,0,CL,ALL,5339,6.7,7.5
Nonref,3000,0,NO,0-10,1835,40.2,-32.4
Nonref,3000,0,NO,20-Oct,5670,42.7,-16.7
Nonref,3000,0,NO,20-30,6525,31.1,4
Nonref,3000,0,NO,30-40,5988,19.5,12.5
Nonref,3000,0,NO,40-50,5250,12.5,12.7
Nonref,3000,0,NO,50-60,5287,9.4,9.9
Nonref,3000,0,NO,60-70,5465,7.4,12.4
Nonref,3000,0,NO,70-80,5462,5.5,17.5
Nonref,3000,0,NO,80-90,5194,3.9,20.5
Nonref,3000,0,NO,90-95,5134,2.7,21.3
Nonref,3000,0,NO,95-99,5225,1.6,25.2
Nonref,3000,0,NO,Top 1%,5482,0.4,28.6
Nonref,3000,0,NO,ALL,5452,6.8,7.4
Nonref,3000,0,PT,0-10,1832,40.1,-32.4
Nonref,3000,0,PT,20-Oct,5670,42.7,-16.7
Nonref,3000,0,PT,20-30,6524,31.1,4
Nonref,3000,0,PT,30-40,5986,19.5,12.5
Nonref,3000,0,PT,40-50,5248,12.5,12.7
Nonref,3000,0,PT,50-60,5286,9.4,9.9
Nonref,3000,0,PT,60-70,5424,7.3,13
Nonref,3000,0,PT,70-80,4919,5,20.7
Nonref,3000,0,PT,80-90,2766,2.1,24.6
Nonref,3000,0,PT,90-95,667,0.3,22.6
Nonref,3000,0,PT,95-99,295,0.1,25.3
Nonref,3000,0,PT,Top 1%,188,0,28.6
Nonref,3000,0,PT,ALL,4736,5.9,8.3
Nonref,3000,500,CL,0-10,1835,40.2,-32.4
