type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Refund,2000,0,NO,80-90,3588,2.7,20.5
Refund,2000,0,NO,90-95,3526,1.8,21.3
Refund,2000,0,NO,95-99,3563,1.1,25.2
Refund,2000,0,NO,Top 1%,3708,0.3,28.6
Refund,2000,0,NO,ALL,5127,6.4,11.8
Refund,2000,0,PT,0-10,4610,101,-24.2
Refund,2000,0,PT,20-Oct,7360,55.4,-8.7
Refund,2000,0,PT,20-30,7494,35.7,12.2
Refund,2000,0,PT,30-40,6061,19.8,20.8
Refund,2000,0,PT,40-50,4390,10.5,19.2
Refund,2000,0,PT,50-60,3797,6.8,11.3
Refund,2000,0,PT,60-70,3810,5.2,13.2
Refund,2000,0,PT,70-80,3189,3.2,20.8
Refund,2000,0,PT,80-90,1307,1,23.5
Refund,2000,0,PT,90-95,331,0.2,21.5
Refund,2000,0,PT,95-99,261,0.1,25.3
Refund,2000,0,PT,Top 1%,174,0,28.6
Refund,2000,0,PT,ALL,4545,5.7,12.5
Refund,2000,500,CL,0-10,4889,107.1,-24.2
Refund,2000,500,CL,20-Oct,7603,57.2,-8.7
Refund,2000,500,CL,20-30,7739,36.9,12.2
Refund,2000,500,CL,30-40,6300,20.5,20.8
Refund,2000,500,CL,40-50,4612,11,19.2
Refund,2000,500,CL,50-60,4000,7.1,11.3
Refund,2000,500,CL,60-70,4103,5.6,12.6
Refund,2000,500,CL,70-80,4069,4.1,17.6
Refund,2000,500,CL,80-90,3810,2.8,20.5
Refund,2000,500,CL,90-95,3738,1.9,21.3
Refund,2000,500,CL,95-99,2382,0.7,25.8
Refund,2000,500,CL,Top 1%,256,0,28.6
Refund,2000,500,CL,ALL,5275,6.6,11.8
Refund,2000,500,NO,0-10,4889,107.2,-24.2
Refund,2000,500,NO,20-Oct,7603,57.2,-8.7
Refund,2000,500,NO,20-30,7739,36.9,12.2
Refund,2000,500,NO,30-40,6300,20.5,20.8
Refund,2000,500,NO,40-50,4612,11,19.2
Refund,2000,500,NO,50-60,4000,7.1,11.3
Refund,2000,500,NO,60-70,4103,5.6,12.6
Refund,2000,500,NO,70-80,4069,4.1,17.6
Refund,2000,500,NO,80-90,3811,2.8,20.5
Refund,2000,500,NO,90-95,3745,1.9,21.3
Refund,2000,500,NO,95-99,3770,1.1,25.2
Refund,2000,500,NO,Top 1%,3925,0.3,28.6
Refund,2000,500,NO,ALL,5359,6.7,11.8
Refund,2000,500,PT,0-10,4886,107.1,-24.2
Refund,2000,500,PT,20-Oct,7602,57.2,-8.7
Refund,2000,500,PT,20-30,7739,36.9,12.2
Refund,2000,500,PT,30-40,6298,20.5,20.8
Refund,2000,500,PT,40-50,4611,11,19.2
Refund,2000,500,PT,50-60,3996,7.1,11.3
Refund,2000,500,PT,60-70,4036,5.5,13.2
Refund,2000,500,PT,70-80,3436,3.5,20.8
Refund,2000,500,PT,80-90,1477,1.1,23.7
Refund,2000,500,PT,90-95,349,0.2,21.6
Refund,2000,500,PT,95-99,266,0.1,25.3
Refund,2000,500,PT,Top 1%,176,0,28.6
Refund,2000,500,PT,ALL,4754,6,12.5
Refund,2000,1000,CL,0-10,5165,113.2,-24.2
Refund,2000,1000,CL,20-Oct,7845,59.1,-8.7
Refund,2000,1000,CL,20-30,7984,38,12.2
Refund,2000,1000,CL,30-40,6537,21.3,20.8
Refund,2000,1000,CL,40-50,4833,11.5,19.2
Refund,2000,1000,CL,50-60,4200,7.5,11.3
Refund,2000,1000,CL,60-70,4329,5.9,12.6
Refund,2000,1000,CL,70-80,4316,4.4,17.6
Refund,2000,1000,CL,80-90,4032,3,20.5
Refund,2000,1000,CL,90-95,3957,2,21.3
Refund,2000,1000,CL,95-99,2535,0.8,25.9
Refund,2000,1000,CL,Top 1%,266,0,28.6
Refund,2000,1000,CL,ALL,5503,6.9,11.8
Refund,2000,1000,NO,0-10,5165,113.2,-24.2
Refund,2000,1000,NO,20-Oct,7845,59.1,-8.7
Refund,2000,1000,NO,20-30,7984,38,12.2
Refund,2000,1000,NO,30-40,6537,21.3,20.8
Refund,2000,1000,NO,40-50,4833,11.5,19.2
Refund,2000,1000,NO,50-60,4200,7.5,11.3
Refund,2000,1000,NO,60-70,4329,5.9,12.6
Refund,2000,1000,NO,70-80,4317,4.4,17.6
Refund,2000,1000,NO,80-90,4034,3,20.5
Refund,2000,1000,NO,90-95,3964,2.1,21.3
Refund,2000,1000,NO,95-99,3977,1.2,25.2
Refund,2000,1000,NO,Top 1%,4142,0.3,28.6
Refund,2000,1000,NO,ALL,5591,7,11.8
Refund,2000,1000,PT,0-10,5162,113.1,-24.2
Refund,2000,1000,PT,20-Oct,7844,59.1,-8.7
Refund,2000,1000,PT,20-30,7984,38,12.2
Refund,2000,1000,PT,30-40,6536,21.3,20.8
Refund,2000,1000,PT,40-50,4831,11.5,19.2
Refund,2000,1000,PT,50-60,4196,7.5,11.3
Refund,2000,1000,PT,60-70,4262,5.8,13.2
Refund,2000,1000,PT,70-80,3683,3.7,20.8
Refund,2000,1000,PT,80-90,1674,1.2,23.8
Refund,2000,1000,PT,90-95,387,0.2,21.7
Refund,2000,1000,PT,95-99,272,0.1,25.3
Refund,2000,1000,PT,Top 1%,180,0,28.6
Refund,2000,1000,PT,ALL,4966,6.2,12.5
Refund,2500,0,CL,0-10,5399,118.3,-24.2
Refund,2500,0,CL,20-Oct,8167,61.5,-8.7
Refund,2500,0,CL,20-30,8357,39.8,12.2
Refund,2500,0,CL,30-40,6911,22.5,20.8
Refund,2500,0,CL,40-50,5213,12.4,19.2
Refund,2500,0,CL,50-60,4609,8.2,11.3
Refund,2500,0,CL,60-70,4686,6.3,12.6
Refund,2500,0,CL,70-80,4649,4.7,17.6
Refund,2500,0,CL,80-90,4393,3.3,20.5
Refund,2500,0,CL,90-95,4333,2.2,21.3
Refund,2500,0,CL,95-99,2820,0.8,25.9
Refund,2500,0,CL,Top 1%,275,0,28.6
Refund,2500,0,CL,ALL,5854,7.3,11.8
Refund,2500,0,NO,0-10,5399,118.3,-24.2
Refund,2500,0,NO,20-Oct,8167,61.5,-8.7
Refund,2500,0,NO,20-30,8357,39.8,12.2
Refund,2500,0,NO,30-40,6911,22.5,20.8
Refund,2500,0,NO,40-50,5213,12.4,19.2
Refund,2500,0,NO,50-60,4609,8.2,11.3
Refund,2500,0,NO,60-70,4686,6.3,12.6
Refund,2500,0,NO,70-80,4650,4.7,17.6
Refund,2500,0,NO,80-90,4394,3.3,20.5
Refund,2500,0,NO,90-95,4340,2.2,21.3
Refund,2500,0,NO,95-99,4396,1.3,25.2
Refund,2500,0,NO,Top 1%,4598,0.3,28.6
Refund,2500,0,NO,ALL,5951,7.5,11.8
Refund,2500,0,PT,0-10,5396,118.3,-24.2
Refund,2500,0,PT,20-Oct,8166,61.5,-8.7
Refund,2500,0,PT,20-30,8357,39.8,12.2
Refund,2500,0,PT,30-40,6909,22.5,20.8
Refund,2500,0,PT,40-50,5211,12.4,19.2
Refund,2500,0,PT,50-60,4605,8.2,11.3
Refund,2500,0,PT,60-70,4617,6.2,13.2
Refund,2500,0,PT,70-80,4014,4.1,20.8
Refund,2500,0,PT,80-90,1970,1.5,24.1
Refund,2500,0,PT,90-95,424,0.2,21.9
Refund,2500,0,PT,95-99,276,0.1,25.3
Refund,2500,0,PT,Top 1%,182,0,28.6
Refund,2500,0,PT,ALL,5286,6.6,12.6
Refund,2500,500,CL,0-10,5675,124.4,-24.2
Refund,2500,500,CL,20-Oct,8409,63.3,-8.7
Refund,2500,500,CL,20-30,8602,41,12.2
Refund,2500,500,CL,30-40,7148,23.3,20.8
Refund,2500,500,CL,40-50,5434,13,19.2
Refund,2500,500,CL,50-60,4809,8.6,11.3
Refund,2500,500,CL,60-70,4912,6.6,12.6
Refund,2500,500,CL,70-80,4897,4.9,17.6
Refund,2500,500,CL,80-90,4615,3.4,20.5
Refund,2500,500,CL,90-95,4552,2.4,21.3
Refund,2500,500,CL,95-99,2974,0.9,26
Refund,2500,500,CL,Top 1%,285,0,28.6
Refund,2500,500,CL,ALL,6083,7.6,11.8
Refund,2500,500,NO,0-10,5675,124.4,-24.2
Refund,2500,500,NO,20-Oct,8409,63.3,-8.7
Refund,2500,500,NO,20-30,8602,41,12.2
Refund,2500,500,NO,30-40,7148,23.3,20.8
Refund,2500,500,NO,40-50,5434,13,19.2
Refund,2500,500,NO,50-60,4809,8.6,11.3
Refund,2500,500,NO,60-70,4912,6.6,12.6
Refund,2500,500,NO,70-80,4897,4.9,17.6
Refund,2500,500,NO,80-90,4616,3.4,20.5
Refund,2500,500,NO,90-95,4559,2.4,21.3
Refund,2500,500,NO,95-99,4603,1.4,25.2
Refund,2500,500,NO,Top 1%,4815,0.3,28.6
Refund,2500,500,NO,ALL,6183,7.7,11.8
Refund,2500,500,PT,0-10,5672,124.3,-24.2
Refund,2500,500,PT,20-Oct,8408,63.3,-8.7
Refund,2500,500,PT,20-30,8602,41,12.2
Refund,2500,500,PT,30-40,7146,23.3,20.8
Refund,2500,500,PT,40-50,5432,13,19.2
Refund,2500,500,PT,50-60,4805,8.6,11.3
Refund,2500,500,PT,60-70,4843,6.6,13.2
Refund,2500,500,PT,70-80,4262,4.3,20.8
Refund,2500,500,PT,80-90,2164,1.6,24.3
Refund,2500,500,PT,90-95,470,0.2,22
Refund,2500,500,PT,95-99,282,0.1,25.3
Refund,2500,500,PT,Top 1%,185,0,28.6
Refund,2500,500,PT,ALL,5498,6.9,12.6
Refund,2500,1000,CL,0-10,5951,130.4,-24.2
Refund,2500,1000,CL,20-Oct,8651,65.1,-8.7
Refund,2500,1000,CL,20-30,8847,42.1,12.2
Refund,2500,1000,CL,30-40,7385,24.1,20.8
Refund,2500,1000,CL,40-50,5654,13.5,19.2
Refund,2500,1000,CL,50-60,5009,8.9,11.3
Refund,2500,1000,CL,60-70,5138,7,12.6
Refund,2500,1000,CL,70-80,5144,5.2,17.6
Refund,2500,1000,CL,80-90,4838,3.6,20.5
Refund,2500,1000,CL,90-95,4771,2.5,21.3
Refund,2500,1000,CL,95-99,3134,0.9,26
Refund,2500,1000,CL,Top 1%,295,0,28.6
Refund,2500,1000,CL,ALL,6311,7.9,11.8
Refund,2500,1000,NO,0-10,5951,130.4,-24.2
Refund,2500,1000,NO,20-Oct,8651,65.1,-8.7
Refund,2500,1000,NO,20-30,8847,42.1,12.2
Refund,2500,1000,NO,30-40,7385,24.1,20.8
Refund,2500,1000,NO,40-50,5654,13.5,19.2
Refund,2500,1000,NO,50-60,5009,8.9,11.3
Refund,2500,1000,NO,60-70,5139,7,12.6
Refund,2500,1000,NO,70-80,5145,5.2,17.6
Refund,2500,1000,NO,80-90,4839,3.6,20.5
Refund,2500,1000,NO,90-95,4779,2.5,21.3
Refund,2500,1000,NO,95-99,4810,1.4,25.2
Refund,2500,1000,NO,Top 1%,5032,0.3,28.6
Refund,2500,1000,NO,ALL,6416,8,11.8
Refund,2500,1000,PT,0-10,5948,130.4,-24.2
Refund,2500,1000,PT,20-Oct,8650,65.1,-8.7
Refund,2500,1000,PT,20-30,8847,42.1,12.2
Refund,2500,1000,PT,30-40,7384,24.1,20.8
Refund,2500,1000,PT,40-50,5653,13.5,19.2
Refund,2500,1000,PT,50-60,5004,8.9,11.3
Refund,2500,1000,PT,60-70,5069,6.9,13.2
Refund,2500,1000,PT,70-80,4509,4.5,20.8
Refund,2500,1000,PT,80-90,2373,1.8,24.3
Refund,2500,1000,PT,90-95,544,0.3,22.2
Refund,2500,1000,PT,95-99,290,0.1,25.3
Refund,2500,1000,PT,Top 1%,189,0,28.6
Refund,2500,1000,PT,ALL,5714,7.2,12.6
Refund,3000,0,CL,0-10,6185,135.5,-24.2
Refund,3000,0,CL,20-Oct,8973,67.6,-8.7
Refund,3000,0,CL,20-30,9220,43.9,12.2
Refund,3000,0,CL,30-40,7759,25.3,20.8
Refund,3000,0,CL,40-50,6034,14.4,19.2
Refund,3000,0,CL,50-60,5418,9.7,11.3
Refund,3000,0,CL,60-70,5495,7.4,12.6
Refund,3000,0,CL,70-80,5477,5.5,17.6
Refund,3000,0,CL,80-90,5198,3.9,20.5
Refund,3000,0,CL,90-95,5147,2.7,21.3
Refund,3000,0,CL,95-99,3435,1,26.1
Refund,3000,0,CL,Top 1%,305,0,28.6
Refund,3000,0,CL,ALL,6663,8.3,11.8
Refund,3000,0,NO,0-10,6185,135.5,-24.2
Refund,3000,0,NO,20-Oct,8973,67.6,-8.7
Refund,3000,0,NO,20-30,9220,43.9,12.2
Refund,3000,0,NO,30-40,7759,25.3,20.8
Refund,3000,0,NO,40-50,6034,14.4,19.2
Refund,3000,0,NO,50-60,5418,9.7,11.3
Refund,3000,0,NO,60-70,5496,7.4,12.6
Refund,3000,0,NO,70-80,5478,5.5,17.6
Refund,3000,0,NO,80-90,5199,3.9,20.5
Refund,3000,0,NO,90-95,5155,2.7,21.3
Refund,3000,0,NO,95-99,5228,1.6,25.2
Refund,3000,0,NO,Top 1%,5488,0.4,28.6
Refund,3000,0,NO,ALL,6776,8.5,11.8
Refund,3000,0,PT,0-10,6182,135.5,-24.2
Refund,3000,0,PT,20-Oct,8973,67.6,-8.7
Refund,3000,0,PT,20-30,9220,43.9,12.2
Refund,3000,0,PT,30-40,7757,25.3,20.8
Refund,3000,0,PT,40-50,6033,14.4,19.2
Refund,3000,0,PT,50-60,5413,9.7,11.3
Refund,3000,0,PT,60-70,5424,7.3,13.2
Refund,3000,0,PT,70-80,4842,4.9,20.8
Refund,3000,0,PT,80-90,2701,2,24.5
Refund,3000,0,PT,90-95,670,0.3,22.6
Refund,3000,0,PT,95-99,295,0.1,25.3
Refund,3000,0,PT,Top 1%,192,0,28.6
Refund,3000,0,PT,ALL,6041,7.6,12.6
Refund,3000,500,CL,0-10,6461,141.6,-24.2
Refund,3000,500,CL,20-Oct,9215,69.4,-8.7
Refund,3000,500,CL,20-30,9465,45.1,12.2
Refund,3000,500,CL,30-40,7996,26.1,20.8
Refund,3000,500,CL,40-50,6255,14.9,19.2
Refund,3000,500,CL,50-60,5617,10,11.3
Refund,3000,500,CL,60-70,5721,7.7,12.6
Refund,3000,500,CL,70-80,5725,5.8,17.6
Refund,3000,500,CL,80-90,5420,4,20.5
Refund,3000,500,CL,90-95,5366,2.8,21.3
Refund,3000,500,CL,95-99,3596,1.1,26.1
Refund,3000,500,CL,Top 1%,315,0,28.6
Refund,3000,500,CL,ALL,6891,8.6,11.8
Refund,3000,500,NO,0-10,6461,141.6,-24.2
Refund,3000,500,NO,20-Oct,9215,69.4,-8.7
Refund,3000,500,NO,20-30,9465,45.1,12.2
Refund,3000,500,NO,30-40,7996,26.1,20.8
Refund,3000,500,NO,40-50,6255,14.9,19.2
Refund,3000,500,NO,50-60,5617,10,11.3
Refund,3000,500,NO,60-70,5722,7.7,12.6
Refund,3000,500,NO,70-80,5725,5.8,17.6
Refund,3000,500,NO,80-90,5422,4,20.5
Refund,3000,500,NO,90-95,5374,2.8,21.3
Refund,3000,500,NO,95-99,5435,1.6,25.2
Refund,3000,500,NO,Top 1%,5705,0.4,28.6
Refund,3000,500,NO,ALL,7008,8.8,11.8
Refund,3000,500,PT,0-10,6458,141.5,-24.2
Refund,3000,500,PT,20-Oct,9215,69.4,-8.7
Refund,3000,500,PT,20-30,9465,45.1,12.2
Refund,3000,500,PT,30-40,7994,26.1,20.8
Refund,3000,500,PT,40-50,6253,14.9,19.2
Refund,3000,500,PT,50-60,5613,10,11.3
Refund,3000,500,PT,60-70,5650,7.6,13.2
Refund,3000,500,PT,70-80,5089,5.1,20.8
Refund,3000,500,PT,80-90,2908,2.2,24.6
Refund,3000,500,PT,90-95,753,0.4,22.7
Refund,3000,500,PT,95-99,303,0.1,25.3
Refund,3000,500,PT,Top 1%,195,0,28.6
Refund,3000,500,PT,ALL,6256,7.8,12.6
Refund,3000,1000,CL,0-10,6737,147.6,-24.2
Refund,3000,1000,CL,20-Oct,9457,71.2,-8.7
Refund,3000,1000,CL,20-30,9710,46.2,12.2
Refund,3000,1000,CL,30-40,8234,26.9,20.8
Refund,3000,1000,CL,40-50,6476,15.4,19.2
Refund,3000,1000,CL,50-60,5817,10.4,11.3
Refund,3000,1000,CL,60-70,5948,8,12.6
Refund,3000,1000,CL,70-80,5972,6,17.6
Refund,3000,1000,CL,80-90,5643,4.2,20.5
Refund,3000,1000,CL,90-95,5585,2.9,21.3
Refund,3000,1000,CL,95-99,3762,1.1,26.1
Refund,3000,1000,CL,Top 1%,325,0,28.6
Refund,3000,1000,CL,ALL,7120,8.9,11.8
Refund,3000,1000,NO,0-10,6737,147.7,-24.2
Refund,3000,1000,NO,20-Oct,9457,71.2,-8.7
Refund,3000,1000,NO,20-30,9710,46.2,12.2
Refund,3000,1000,NO,30-40,8234,26.9,20.8
Refund,3000,1000,NO,40-50,6476,15.4,19.2
Refund,3000,1000,NO,50-60,5817,10.4,11.3
Refund,3000,1000,NO,60-70,5948,8,12.6
Refund,3000,1000,NO,70-80,5973,6,17.6
Refund,3000,1000,NO,80-90,5644,4.2,20.5
Refund,3000,1000,NO,90-95,5593,2.9,21.3
Refund,3000,1000,NO,95-99,5642,1.7,25.2
Refund,3000,1000,NO,Top 1%,5922,0.4,28.6
Refund,3000,1000,NO,ALL,7240,9.1,11.8
Refund,3000,1000,PT,0-10,6734,147.6,-24.2
Refund,3000,1000,PT,20-Oct,9457,71.2,-8.7
Refund,3000,1000,PT,20-30,9710,46.2,12.2
Refund,3000,1000,PT,30-40,8232,26.8,20.8
Refund,3000,1000,PT,40-50,6474,15.4,19.2
Refund,3000,1000,PT,50-60,5813,10.4,11.3
Refund,3000,1000,PT,60-70,5876,7.9,13.2
Refund,3000,1000,PT,70-80,5337,5.4,20.8
Refund,3000,1000,PT,80-90,3123,2.3,24.6
Refund,3000,1000,PT,90-95,861,0.4,22.9
Refund,3000,1000,PT,95-99,313,0.1,25.3
Refund,3000,1000,PT,Top 1%,200,0,28.6
Refund,3000,1000,PT,ALL,6474,8.1,12.6
Refund,3500,0,CL,0-10,6971,152.8,-24.2
Refund,3500,0,CL,20-Oct,9779,73.6,-8.7
Refund,3500,0,CL,20-30,10083,48,12.2
Refund,3500,0,CL,30-40,8607,28.1,20.8
Refund,3500,0,CL,40-50,6856,16.4,19.2
Refund,3500,0,CL,50-60,6226,11.1,11.3
Refund,3500,0,CL,60-70,6305,8.5,12.6
Refund,3500,0,CL,70-80,6305,6.4,17.6
Refund,3500,0,CL,80-90,6003,4.5,20.5
Refund,3500,0,CL,90-95,5961,3.1,21.3
Refund,3500,0,CL,95-99,4081,1.2,26.2
Refund,3500,0,CL,Top 1%,336,0,28.6
Refund,3500,0,CL,ALL,7472,9.4,11.8
Refund,3500,0,NO,0-10,6971,152.8,-24.2
Refund,3500,0,NO,20-Oct,9780,73.6,-8.7
Refund,3500,0,NO,20-30,10083,48,12.2
Refund,3500,0,NO,30-40,8607,28.1,20.8
Refund,3500,0,NO,40-50,6856,16.4,19.2
Refund,3500,0,NO,50-60,6226,11.1,11.3
Refund,3500,0,NO,60-70,6305,8.5,12.6
Refund,3500,0,NO,70-80,6306,6.4,17.6
Refund,3500,0,NO,80-90,6004,4.5,20.5
Refund,3500,0,NO,90-95,5969,3.1,21.3
Refund,3500,0,NO,95-99,6061,1.8,25.2
Refund,3500,0,NO,Top 1%,6377,0.4,28.6
Refund,3500,0,NO,ALL,7600,9.5,11.8
Refund,3500,0,PT,0-10,6967,152.7,-24.2
Refund,3500,0,PT,20-Oct,9779,73.6,-8.7
Refund,3500,0,PT,20-30,10083,48,12.2
Refund,3500,0,PT,30-40,8605,28.1,20.8
Refund,3500,0,PT,40-50,6854,16.3,19.2
Refund,3500,0,PT,50-60,6222,11.1,11.3
Refund,3500,0,PT,60-70,6232,8.4,13.2
Refund,3500,0,PT,70-80,5669,5.7,20.8
Refund,3500,0,PT,80-90,3468,2.6,24.7
Refund,3500,0,PT,90-95,1063,0.6,23.2
Refund,3500,0,PT,95-99,321,0.1,25.3
Refund,3500,0,PT,Top 1%,203,0,28.6
Refund,3500,0,PT,ALL,6806,8.5,12.7
Refund,3500,500,CL,0-10,7247,158.8,-24.2
Refund,3500,500,CL,20-Oct,10021,75.5,-8.7
Refund,3500,500,CL,20-30,10328,49.2,12.2
Refund,3500,500,CL,30-40,8844,28.8,20.8
Refund,3500,500,CL,40-50,7076,16.9,19.2
Refund,3500,500,CL,50-60,6426,11.5,11.3
Refund,3500,500,CL,60-70,6531,8.8,12.6
Refund,3500,500,CL,70-80,6552,6.6,17.6
Refund,3500,500,CL,80-90,6225,4.6,20.5
Refund,3500,500,CL,90-95,6180,3.2,21.3
Refund,3500,500,CL,95-99,4247,1.3,26.2
Refund,3500,500,CL,Top 1%,346,0,28.6
Refund,3500,500,CL,ALL,7701,9.6,11.8
Refund,3500,500,NO,0-10,7247,158.8,-24.2
Refund,3500,500,NO,20-Oct,10022,75.5,-8.7
Refund,3500,500,NO,20-30,10328,49.2,12.2
Refund,3500,500,NO,30-40,8844,28.8,20.8
Refund,3500,500,NO,40-50,7076,16.9,19.2
Refund,3500,500,NO,50-60,6426,11.5,11.3
Refund,3500,500,NO,60-70,6531,8.8,12.6
Refund,3500,500,NO,70-80,6553,6.6,17.6
Refund,3500,500,NO,80-90,6227,4.6,20.5
Refund,3500,500,NO,90-95,6188,3.2,21.3
Refund,3500,500,NO,95-99,6268,1.9,25.2
Refund,3500,500,NO,Top 1%,6594,0.4,28.6
Refund,3500,500,NO,ALL,7832,9.8,11.8
Refund,3500,500,PT,0-10,7244,158.7,-24.2
Refund,3500,500,PT,20-Oct,10021,75.5,-8.7
Refund,3500,500,PT,20-30,10328,49.2,12.2
Refund,3500,500,PT,30-40,8842,28.8,20.8
Refund,3500,500,PT,40-50,7075,16.9,19.2
Refund,3500,500,PT,50-60,6422,11.5,11.3
Refund,3500,500,PT,60-70,6458,8.7,13.2
Refund,3500,500,PT,70-80,5917,6,20.8
Refund,3500,500,PT,80-90,3681,2.7,24.7
Refund,3500,500,PT,90-95,1175,0.6,23.3
Refund,3500,500,PT,95-99,331,0.1,25.4
Refund,3500,500,PT,Top 1%,207,0,28.6
Refund,3500,500,PT,ALL,7023,8.8,12.7
Refund,3500,1000,CL,0-10,7523,164.9,-24.2
Refund,3500,1000,CL,20-Oct,10263,77.3,-8.7
Refund,3500,1000,CL,20-30,10573,50.3,12.2
Refund,3500,1000,CL,30-40,9082,29.6,20.8
Refund,3500,1000,CL,40-50,7297,17.4,19.2
Refund,3500,1000,CL,50-60,6626,11.8,11.3
Refund,3500,1000,CL,60-70,6757,9.1,12.6
Refund,3500,1000,CL,70-80,6800,6.9,17.6
Refund,3500,1000,CL,80-90,6448,4.8,20.5
Refund,3500,1000,CL,90-95,6399,3.3,21.3
Refund,3500,1000,CL,95-99,4416,1.3,26.3
Refund,3500,1000,CL,Top 1%,356,0,28.6
Refund,3500,1000,CL,ALL,7930,9.9,11.8
Refund,3500,1000,NO,0-10,7523,164.9,-24.2
Refund,3500,1000,NO,20-Oct,10264,77.3,-8.7
Refund,3500,1000,NO,20-30,10573,50.3,12.2
Refund,3500,1000,NO,30-40,9082,29.6,20.8
Refund,3500,1000,NO,40-50,7297,17.4,19.2
Refund,3500,1000,NO,50-60,6626,11.8,11.3
Refund,3500,1000,NO,60-70,6757,9.1,12.6
Refund,3500,1000,NO,70-80,6801,6.9,17.6
Refund,3500,1000,NO,80-90,6449,4.8,20.5
Refund,3500,1000,NO,90-95,6407,3.3,21.3
Refund,3500,1000,NO,95-99,6475,1.9,25.2
Refund,3500,1000,NO,Top 1%,6812,0.5,28.6
Refund,3500,1000,NO,ALL,8064,10.1,11.8
Refund,3500,1000,PT,0-10,7520,164.8,-24.2
Refund,3500,1000,PT,20-Oct,10263,77.3,-8.7
Refund,3500,1000,PT,20-30,10573,50.3,12.2
Refund,3500,1000,PT,30-40,9080,29.6,20.8
Refund,3500,1000,PT,40-50,7295,17.4,19.2
Refund,3500,1000,PT,50-60,6621,11.8,11.3
Refund,3500,1000,PT,60-70,6684,9,13.2
Refund,3500,1000,PT,70-80,6164,6.2,20.8
Refund,3500,1000,PT,80-90,3901,2.9,24.8
Refund,3500,1000,PT,90-95,1311,0.7,23.5
Refund,3500,1000,PT,95-99,347,0.1,25.4
Refund,3500,1000,PT,Top 1%,211,0,28.6
Refund,3500,1000,PT,ALL,7243,9.1,12.7
CL,,,,0-10,1832,40.1,-32.4
CL,,,,20-Oct,5670,42.7,-16.7
CL,,,,20-30,6517,31,4.3
CL,,,,30-40,5767,18.8,17.1
CL,,,,40-50,4280,10.2,18.1
CL,,,,50-60,3778,6.7,11.1
CL,,,,60-70,3869,5.2,12.5
CL,,,,70-80,3816,3.9,17.6
CL,,,,80-90,3586,2.7,20.5
CL,,,,90-95,3507,1.8,21.3
CL,,,,95-99,2248,0.7,25.8
CL,,,,Top 1%,244,0,28.6
CL,,,,ALL,4506,5.6,8.7
House25,,,,0-10,200,2.5,10
House25,,,,20-Oct,400,2,12
House25,,,,20-30,600,1.8,15
House25,,,,30-40,800,1.6,18
House25,,,,40-50,1000,1.4,20
House25,,,,50-60,1200,1.2,22
House25,,,,60-70,1400,1,25
House25,,,,70-80,1600,0.8,27
House25,,,,80-90,1800,0.6,29
House25,,,,90-100,2000,0.4,30
House25,,,,ALL,1800,1.2,30
Senate25,,,,0-10,190,2.4,9
Senate25,,,,20-Oct,380,1.9,11
Senate25,,,,20-30,570,1.7,14
Senate25,,,,30-40,760,1.5,17
Senate25,,,,40-50,950,1.3,19
Senate25,,,,50-60,1140,1.1,21
Senate25,,,,60-70,1330,0.9,24
Senate25,,,,70-80,1520,0.7,26
Senate25,,,,80-90,1710,0.5,28
Senate25,,,,90-100,1900,0.3,29
Senate25,,,,ALL,1750,1.1,29
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
